field,signal,value,delay,datatype
current,Vehicle.Speed,80.0,0.0006959438323974609,FLOAT
current,Vehicle.OBD.EngineLoad,10.0,0.022857189178466797,FLOAT
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.01761484146118164,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0016050338745117188,BOOLEAN
current,Vehicle.OBD.Speed,80.0,0.07611393928527832,FLOAT
current,Vehicle.Speed,80.0,0.0011570453643798828,FLOAT
current,Vehicle.OBD.EngineLoad,10.0,0.0026149749755859375,FLOAT
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.024804115295410156,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0012688636779785156,BOOLEAN
current,Vehicle.OBD.Speed,80.0,0.06857180595397949,FLOAT
current,Vehicle.Speed,80.0,0.0012552738189697266,FLOAT
current,Vehicle.OBD.EngineLoad,10.0,0.005731821060180664,FLOAT
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.03260612487792969,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0011909008026123047,BOOLEAN
current,Vehicle.OBD.Speed,80.0,0.061324119567871094,FLOAT
current,Vehicle.Speed,80.0,0.0023729801177978516,FLOAT
current,Vehicle.OBD.EngineLoad,10.0,0.03261399269104004,FLOAT
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.011218070983886719,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0013089179992675781,BOOLEAN
current,Vehicle.OBD.Speed,81.0,0.07070088386535645,FLOAT
current,Vehicle.Speed,81.0,0.0011060237884521484,FLOAT
current,Vehicle.OBD.EngineLoad,10.0,0.01885819435119629,FLOAT
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.007004976272583008,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0004119873046875,BOOLEAN
current,Vehicle.OBD.Speed,81.0,0.09207582473754883,FLOAT
current,Vehicle.Speed,81.0,0.0005230903625488281,FLOAT
current,Vehicle.OBD.EngineLoad,10.0,0.005020856857299805,FLOAT
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.014840126037597656,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0004379749298095703,BOOLEAN
current,Vehicle.OBD.EngineLoad,10.0,0.08711719512939453,FLOAT
current,Vehicle.OBD.Speed,81.0,0.01199483871459961,FLOAT
current,Vehicle.Speed,81.0,0.0004971027374267578,FLOAT
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.00716400146484375,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.00039076805114746094,BOOLEAN
current,Vehicle.OBD.EngineLoad,10.0,0.09197211265563965,FLOAT
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.007786989212036133,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0003509521484375,BOOLEAN
